source,supplierName,sourceUrl,externalId,name,brand,category,unit,currency,price,quantity,isRegulated,notes
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h151_015_fgxxl/","frezy_khirurgicheskie_h151_015_fgxxl","frezy khirurgicheskie h151 015 fgxxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h161_016_fgxl/","frezy_khirurgicheskie_h161_016_fgxl","frezy khirurgicheskie h161 016 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h161_016_hp/","frezy_khirurgicheskie_h161_016_hp","frezy khirurgicheskie h161 016 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h162_016_fgxl/","frezy_khirurgicheskie_h162_016_fgxl","frezy khirurgicheskie h162 016 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h162_016_hp/","frezy_khirurgicheskie_h162_016_hp","frezy khirurgicheskie h162 016 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h162a_016_fgxxl/","frezy_khirurgicheskie_h162a_016_fgxxl","frezy khirurgicheskie h162a 016 fgxxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h162a_016_hp/","frezy_khirurgicheskie_h162a_016_hp","frezy khirurgicheskie h162a 016 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h162a_016_raxl/","frezy_khirurgicheskie_h162a_016_raxl","frezy khirurgicheskie h162a 016 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h162s_016_hp/","frezy_khirurgicheskie_h162s_016_hp","frezy khirurgicheskie h162s 016 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h166_021_ral/","frezy_khirurgicheskie_h166_021_ral","frezy khirurgicheskie h166 021 ral","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
