supplierSource,externalId,canonicalName,sourceUrl,productVariantId,cardStatus
"amdgroup","lm_aktivator_45_low_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 LOW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low/lm_aktivator_45_low_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","35455ca8-2171-4cb4-9bde-6b74388ceab5","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_low_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 LOW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low/lm_aktivator_45_low_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","d12802e9-1489-48a3-95c0-ed58e5c70170","DRAFT_REVIEW"
"amdgroup","lm_aktivator_50_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 50 HIGH SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_50_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","bf4ca032-4bf3-4cc9-8f5d-c8f6cfafb678","DRAFT_REVIEW"
"amdgroup","lm_aktivator_50_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 50 HIGH SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_50_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","a7a19b52-a966-4753-b94a-03abf4c4b2c0","DRAFT_REVIEW"
"amdgroup","lm_aktivator_50_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 50 HIGH для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_50_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","5ac63868-af3c-46e5-94ef-478654f72d78","DRAFT_REVIEW"
"amdgroup","lm_aktivator_50_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 50 HIGH для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_50_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","e8936864-5ad3-43d8-a138-1b9b55eec6fd","DRAFT_REVIEW"
"amdgroup","lm_aktivator_50_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 50 LOW SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low/lm_aktivator_50_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","a01add9c-32a4-40a5-b313-f22e858793c4","DRAFT_REVIEW"
"amdgroup","lm_aktivator_50_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 50 LOW SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low/lm_aktivator_50_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","a0eddd13-7425-49c8-a8f0-67e19170fdc0","DRAFT_REVIEW"
"amdgroup","lm_aktivator_60_low_short","LM-Активатор 60 LOW (SHORT)","https://amdgroup.kz/catalog/low/lm_aktivator_60_low_short/","b8ba9d1b-0a0a-453e-8e81-6d210d8cce19","DRAFT_REVIEW"
"amdgroup","lm_aktivator_60_low_short","LM-Активатор 60 LOW (SHORT)","https://amdgroup.kz/catalog/low/lm_aktivator_60_low_short/","599ba64e-b75f-4093-867b-ee545a24ea5d","DRAFT_REVIEW"
"amdgroup","lm_aktivator_65_high_short","LM-Активатор 65 HIGH (SHORT)","https://amdgroup.kz/catalog/high/lm_aktivator_65_high_short/","f6ad0cbb-6ee7-4bf2-9883-e19655387d50","DRAFT_REVIEW"
"amdgroup","lm_aktivator_65_high_short","LM-Активатор 65 HIGH (SHORT)","https://amdgroup.kz/catalog/high/lm_aktivator_65_high_short/","820b072e-4c4b-481d-8dbd-ed0285c64a5b","DRAFT_REVIEW"
"amdgroup","lm_aktivator_70_high_short","LM-Активатор 70 HIGH (SHORT)","https://amdgroup.kz/catalog/high/lm_aktivator_70_high_short/","3e679945-df23-4801-9611-5deef65010d7","DRAFT_REVIEW"
"amdgroup","lm_aktivator_70_high_short","LM-Активатор 70 HIGH (SHORT)","https://amdgroup.kz/catalog/high/lm_aktivator_70_high_short/","04b5d7dd-0e70-434b-adc1-7d5894c0eed0","DRAFT_REVIEW"
"amdgroup","lm_aktivator_94235llnr","LM-АКТИВАТОР 94235LLNR","https://amdgroup.kz/catalog/low_/lm_aktivator_94235llnr/","5f8abe65-667f-458e-b5dc-996298f4b4f8","DRAFT_REVIEW"
"amdgroup","lm_aktivator_dlya_ortodonticheskoy_i_miofunktsionalnoy_korrektsii_s_prinadlezhnostyami_v_variantakh_","LM-АКТИВАТОР ДЛЯ ОРТОДОНТИЧЕСКОЙ И МИОФУНКЦИОНАЛЬНОЙ КОРРЕКЦИИ С ПРИНАДЛЕЖНОСТЯМИ, В ВАРИАНТАХ ИСПОЛ","https://amdgroup.kz/catalog/low_/lm_aktivator_dlya_ortodonticheskoy_i_miofunktsionalnoy_korrektsii_s_prinadlezhnostyami_v_variantakh_/","f78e10da-b738-422f-a215-6e4d35da0fdb","DRAFT_REVIEW"
"amdgroup","lm_aktivator_dlya_ortodonticheskoy_i_miofunktsionalnoy_korrektsii_s_prinadlezhnostyami_v_variantakh_","LM-АКТИВАТОР ДЛЯ ОРТОДОНТИЧЕСКОЙ И МИОФУНКЦИОНАЛЬНОЙ КОРРЕКЦИИ С ПРИНАДЛЕЖНОСТЯМИ, В ВАРИАНТАХ ИСПОЛ","https://amdgroup.kz/catalog/low_/lm_aktivator_dlya_ortodonticheskoy_i_miofunktsionalnoy_korrektsii_s_prinadlezhnostyami_v_variantakh_/","7447455a-c5ca-4163-a8ad-451d230f56c2","DRAFT_REVIEW"
"amdgroup","lm_aktivator2_vysokiy_35_dlinnyy_uzkiy","LM-Активатор2 высокий 35 (длинный узкий)","https://amdgroup.kz/catalog/high_/lm_aktivator2_vysokiy_35_dlinnyy_uzkiy/","25ec2d8b-a505-4dd8-b545-b5696e2b8901","DRAFT_REVIEW"
"amdgroup","lm_aktivator2_vysokiy_35_dlinnyy_uzkiy","LM-Активатор2 высокий 35 (длинный узкий)","https://amdgroup.kz/catalog/high_/lm_aktivator2_vysokiy_35_dlinnyy_uzkiy/","4f32d706-8286-4c4e-b357-af41453be30e","DRAFT_REVIEW"
